Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Positioning [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Placement Method; K; Eps; MinPts; P Sample Index; S Sample Index; Properties File Path; Report File Path
210.257; N/A; N/A; N/A; N/A; N/A; N/A; 0.078; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/1_dbscan_0026 - Kopia (2).txt; logs/run_report_2012_10_28_12_9_22.txt
280.122; N/A; N/A; N/A; N/A; N/A; N/A; 0.328; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/1_dbscan_0026 - Kopia (3).txt; logs/run_report_2012_10_28_12_13_3.txt
278.867; N/A; N/A; N/A; N/A; N/A; N/A; 0.304; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/1_dbscan_0026 - Kopia (4).txt; logs/run_report_2012_10_28_12_17_54.txt
278.336; N/A; N/A; N/A; N/A; N/A; N/A; 0.234; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/1_dbscan_0026 - Kopia.txt; logs/run_report_2012_10_28_12_22_44.txt
278.288; N/A; N/A; N/A; N/A; N/A; N/A; 0.343; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/1_dbscan_0026.txt; logs/run_report_2012_10_28_12_27_33.txt
36.863; N/A; N/A; N/A; N/A; N/A; N/A; 0.172; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 30; 0; sparse; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/2_dbscan_0029.txt; logs/run_report_2012_10_28_12_32_22.txt
297.305; N/A; N/A; N/A; N/A; N/A; N/A; 0.156; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 15; 0; sparse; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/3_dbscan_0025.txt; logs/run_report_2012_10_28_12_33_9.txt
336.344; N/A; N/A; N/A; N/A; N/A; N/A; 0.109; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 30; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/4_dbscan_0030.txt; logs/run_report_2012_10_28_12_38_17.txt
23.619; N/A; N/A; N/A; N/A; N/A; N/A; 0.171; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 45; 0; sparse; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/dbscan_0033.txt; logs/run_report_2012_10_28_12_44_4.txt
21.918; N/A; N/A; N/A; N/A; N/A; N/A; 0.125; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 45; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/dbscan_0034.txt; logs/run_report_2012_10_28_12_44_38.txt
26.972; N/A; N/A; N/A; N/A; N/A; N/A; 0.219; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 56; 0; sparse; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/dbscan_0037.txt; logs/run_report_2012_10_28_12_45_10.txt
18.61; N/A; N/A; N/A; N/A; N/A; N/A; 0.141; 0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt; 3000; 56; 0; dense; N/A; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/dbscan_0038.txt; logs/run_report_2012_10_28_12_45_47.txt
